source_name,rss_url,domain,category,tier,tier_label,authority,reachability,already_in_docuaction,reason
FCC.gov - News Releases,https://www.fcc.gov/rss/news-releases,fcc.gov,Government,1,Tier 1 FCC/Government,100,dead,True,dead/unreachable feed
FCC.gov - Headlines,https://www.fcc.gov/rss/headlines,fcc.gov,Government,1,Tier 1 FCC/Government,100,dead,True,dead/unreachable feed
Federal Register - FCC,https://www.federalregister.gov/documents/search.rss?conditions%5Bagencies%5D%5B%5D=federal-communications-commission,federalregister.gov,Government,1,Tier 1 FCC/Government,100,other,True,duplicate coverage (already in DocuAction)
Broadband Breakfast,https://broadbandbreakfast.com/feed/,broadbandbreakfast.com,Telecom Trade,3,Tier 3 Telecom/Broadband/Wireless Trade,82,active,True,duplicate coverage (already in DocuAction)
Light Reading,https://www.lightreading.com/rss.xml,lightreading.com,Telecom Trade,3,Tier 3 Telecom/Broadband/Wireless Trade,82,active,True,duplicate coverage (already in DocuAction)
Fierce Network,https://www.fierce-network.com/rss/xml,fierce-network.com,Telecom Trade,3,Tier 3 Telecom/Broadband/Wireless Trade,82,active,True,duplicate coverage (already in DocuAction)
Fierce Wireless,https://www.fiercewireless.com/rss/xml,fiercewireless.com,Telecom Trade,3,Tier 3 Telecom/Broadband/Wireless Trade,82,blocked,True,duplicate coverage (already in DocuAction)
RCR Wireless,https://www.rcrwireless.com/feed,rcrwireless.com,Telecom Trade,3,Tier 3 Telecom/Broadband/Wireless Trade,82,active,True,duplicate coverage (already in DocuAction)
Telecompaper,https://www.telecompaper.com/rss/news,telecompaper.com,Telecom Trade,3,Tier 3 Telecom/Broadband/Wireless Trade,82,active,True,duplicate coverage (already in DocuAction)
Total Tele,https://www.totaltele.com/rss.xml,totaltele.com,Telecom Trade,3,Tier 3 Telecom/Broadband/Wireless Trade,82,active,True,duplicate coverage (already in DocuAction)
Telecoms,https://telecoms.com/feed/,telecoms.com,Telecom Trade,3,Tier 3 Telecom/Broadband/Wireless Trade,82,blocked,True,duplicate coverage (already in DocuAction)
Telco Magazine,https://www.telcomagazine.com/feed/,telcomagazine.com,Telecom Trade,3,Tier 3 Telecom/Broadband/Wireless Trade,82,dead,False,dead/unreachable feed
Inside Towers,https://insidetowers.com/feed/,insidetowers.com,Telecom Trade,3,Tier 3 Telecom/Broadband/Wireless Trade,82,active,True,duplicate coverage (already in DocuAction)
Wireless Week,https://www.wirelessweek.com/rss.xml,wirelessweek.com,Telecom Trade,3,Tier 3 Telecom/Broadband/Wireless Trade,82,dead,False,dead/unreachable feed
TeleGeography,https://www.telegeography.com/feed/,telegeography.com,Telecom Trade,3,Tier 3 Telecom/Broadband/Wireless Trade,82,dead,True,dead/unreachable feed
Vanilla Plus,https://www.vanillaplus.com/feed/,vanillaplus.com,Telecom Trade,3,Tier 3 Telecom/Broadband/Wireless Trade,82,dead,False,dead/unreachable feed
Developing Telecoms,https://developingtelecoms.com/feed,developingtelecoms.com,Telecom Trade,3,Tier 3 Telecom/Broadband/Wireless Trade,82,dead,False,dead/unreachable feed
Mobile World Live,https://www.mobileworldlive.com/feed/,mobileworldlive.com,Telecom Trade,3,Tier 3 Telecom/Broadband/Wireless Trade,82,active,True,duplicate coverage (already in DocuAction)
Comms Update,https://www.commsupdate.com/feed/,commsupdate.com,Telecom Trade,3,Tier 3 Telecom/Broadband/Wireless Trade,82,dead,False,dead/unreachable feed
Network World,https://www.networkworld.com/index.rss,networkworld.com,Telecom Trade,3,Tier 3 Telecom/Broadband/Wireless Trade,82,dead,False,dead/unreachable feed
TV Technology,https://www.tvtechnology.com/rss.xml,tvtechnology.com,Broadcast/Radio,5,Tier 5 Broadcast News Websites,72,dead,True,dead/unreachable feed
NextTV,https://www.nexttv.com/rss.xml,nexttv.com,Broadcast/Radio,5,Tier 5 Broadcast News Websites,72,dead,False,dead/unreachable feed
Radio World,https://www.radioworld.com/feed/,radioworld.com,Broadcast/Radio,5,Tier 5 Broadcast News Websites,72,dead,True,dead/unreachable feed
TVNewsCheck,https://tvnewscheck.com/feed/,tvnewscheck.com,Broadcast/Radio,5,Tier 5 Broadcast News Websites,72,dead,True,dead/unreachable feed
RBR,https://www.rbr.com/feed/,rbr.com,Broadcast/Radio,5,Tier 5 Broadcast News Websites,72,active,True,duplicate coverage (already in DocuAction)
Talkers,https://talkers.com/feed/,talkers.com,Broadcast/Radio,5,Tier 5 Broadcast News Websites,72,dead,False,dead/unreachable feed
Radio Ink,https://radioink.com/feed/,radioink.com,Broadcast/Radio,5,Tier 5 Broadcast News Websites,72,dead,True,dead/unreachable feed
The Desk,https://thedesk.net/feed/,thedesk.net,Broadcast/Radio,5,Tier 5 Broadcast News Websites,72,dead,True,dead/unreachable feed
Cord Cutters News,https://cordcuttersnews.com/feed/,cordcuttersnews.com,Broadcast/Radio,5,Tier 5 Broadcast News Websites,72,dead,False,dead/unreachable feed
FCC Data,https://fccdata.org/feed/,fccdata.org,Broadcast/Radio,5,Tier 5 Broadcast News Websites,72,dead,False,dead/unreachable feed
Benton Institute,https://www.benton.org/rss.xml,benton.org,Government,1,Tier 1 FCC/Government,95,dead,True,dead/unreachable feed
Public Knowledge,https://publicknowledge.org/feed/,publicknowledge.org,Government,1,Tier 1 FCC/Government,95,dead,True,dead/unreachable feed
TechFreedom,https://techfreedom.org/feed/,techfreedom.org,Government,1,Tier 1 FCC/Government,95,dead,False,dead/unreachable feed
EFF,https://www.eff.org/rss/updates.xml,eff.org,Government,1,Tier 1 FCC/Government,95,active,True,duplicate coverage (already in DocuAction)
Law360,https://www.law360.com/rss/articles,law360.com,Government,1,Tier 1 FCC/Government,95,dead,False,dead/unreachable feed
National Law Review,https://www.natlawreview.com/recent/feed,natlawreview.com,Government,1,Tier 1 FCC/Government,95,dead,False,dead/unreachable feed
Brookings TechTank,https://www.brookings.edu/topic/technology-innovation/feed/,brookings.edu,Government,1,Tier 1 FCC/Government,95,dead,False,dead/unreachable feed
ITIF,https://itif.org/feed/,itif.org,Government,1,Tier 1 FCC/Government,95,dead,False,dead/unreachable feed
Politico,https://www.politico.com/rss/technology.xml,politico.com,Government,1,Tier 1 FCC/Government,95,blocked,True,duplicate coverage (already in DocuAction)
Bloomberg Law,https://www.bloomberglaw.com/feed,bloomberglaw.com,Government,1,Tier 1 FCC/Government,95,dead,False,dead/unreachable feed
Ars Technica,https://feeds.arstechnica.com/arstechnica/index,feeds.arstechnica.com,Technology,4,Tier 4 Technology Publications,76,active,True,duplicate coverage (already in DocuAction)
The Verge,https://www.theverge.com/rss/index.xml,theverge.com,Technology,4,Tier 4 Technology Publications,76,active,True,duplicate coverage (already in DocuAction)
TechCrunch,https://techcrunch.com/feed/,techcrunch.com,Technology,4,Tier 4 Technology Publications,76,active,True,duplicate coverage (already in DocuAction)
Wired,https://www.wired.com/feed/rss,wired.com,Technology,4,Tier 4 Technology Publications,76,active,True,duplicate coverage (already in DocuAction)
Engadget,https://www.engadget.com/rss.xml,engadget.com,Technology,4,Tier 4 Technology Publications,76,active,True,duplicate coverage (already in DocuAction)
CNET,https://www.cnet.com/rss/news/,cnet.com,Technology,4,Tier 4 Technology Publications,76,active,True,duplicate coverage (already in DocuAction)
TechRadar,https://www.techradar.com/feeds/,techradar.com,Technology,4,Tier 4 Technology Publications,76,dead,False,dead/unreachable feed
PCMag,https://www.pcmag.com/feeds/latest,pcmag.com,Technology,4,Tier 4 Technology Publications,76,dead,False,dead/unreachable feed
CRN,https://www.crn.com/rss,crn.com,Technology,4,Tier 4 Technology Publications,76,dead,False,dead/unreachable feed
CIO,https://www.cio.com/feed/,cio.com,Technology,4,Tier 4 Technology Publications,76,dead,False,dead/unreachable feed
Reuters Technology,https://feeds.reuters.com/reuters/technologyNews,feeds.reuters.com,Major News/Wire,2,Tier 2 National Media,92,dead,True,dead/unreachable feed
Reuters Business,https://feeds.reuters.com/reuters/businessNews,feeds.reuters.com,Major News/Wire,2,Tier 2 National Media,92,dead,True,dead/unreachable feed
Wall Street Journal Tech,https://feeds.content.dowjones.io/public/rss/mw_technology,feeds.content.dowjones.io,Major News/Wire,2,Tier 2 National Media,92,dead,False,dead/unreachable feed
New York Times Tech,https://rss.nytimes.com/services/xml/rss/nyt/Technology.xml,rss.nytimes.com,Major News/Wire,2,Tier 2 National Media,92,active,True,duplicate coverage (already in DocuAction)
New York Times Politics,https://rss.nytimes.com/services/xml/rss/nyt/Politics.xml,rss.nytimes.com,Major News/Wire,2,Tier 2 National Media,92,dead,True,dead/unreachable feed
Washington Post Tech,https://feeds.washingtonpost.com/rss/business/technology,feeds.washingtonpost.com,Major News/Wire,2,Tier 2 National Media,92,dead,True,dead/unreachable feed
The Hill,https://thehill.com/feed/,thehill.com,Major News/Wire,2,Tier 2 National Media,92,active,True,duplicate coverage (already in DocuAction)
Axios,https://api.axios.com/feed/,api.axios.com,Major News/Wire,2,Tier 2 National Media,92,active,True,duplicate coverage (already in DocuAction)
