publication_name,website,rss_feed,official_api,coverage_type,coverage_area,editorial_focus,publisher,content_frequency,fcc_relevance,subscription_required,free_or_paid,reliability_score,authority_score,primary_topics,duplicate_risk,search_capability,notes
Reuters,reuters.com,yes,partial,National Newspaper,US/Global,policy|business|tech,Thomson Reuters,continuous,Medium,metered,Paid,10,10,telecom|policy|business,High,yes,Wire; often syndicated
Associated Press,apnews.com,partial,partial,National Newspaper,US/Global,policy|business,Associated Press,continuous,Medium,no,Free,10,10,telecom|policy|business,High,yes,Wire; heavy syndication
Bloomberg,bloomberg.com,yes,yes,National Newspaper,US/Global,markets|business|tech,Bloomberg LP,continuous,Medium,yes,Paid,10,10,telecom|business|markets,Medium,yes,API paid
Bloomberg Government,about.bgov.com,verify,yes,Government Publication,US,regulation|congress,Bloomberg LP,daily,High,yes,Paid,10,10,fcc|congress|regulation,Low,yes,Licensed; strong FCC/Hill coverage
Wall Street Journal,wsj.com,yes,no,National Newspaper,US,business|tech|policy,Dow Jones,continuous,Medium,yes,Paid,9,9,telecom|business|policy,Medium,yes,Paywall
New York Times,nytimes.com,yes,yes,National Newspaper,US,policy|tech|business,NYT Company,continuous,Medium,metered,Paid,9,9,telecom|policy|tech,Medium,yes,Free NYT API
Washington Post,washingtonpost.com,yes,no,National Newspaper,US,policy|tech,Nash Holdings,continuous,Medium,yes,Paid,9,9,telecom|policy,Medium,yes,DC policy angle
USA Today,usatoday.com,yes,no,National Newspaper,US,general|tech|consumer,Gannett,continuous,Low,metered,Paid,8,7,consumer|tech,High,yes,Gannett network syndication
CNBC,cnbc.com,yes,no,National Newspaper,US,business|markets|tech,NBCUniversal,continuous,Medium,no,Free,8,8,telecom|business,Medium,yes,
Fox Business,foxbusiness.com,yes,no,National Newspaper,US,business|policy,Fox Corp,continuous,Low,no,Free,7,7,business|policy,Medium,yes,
ABC News,abcnews.go.com,yes,no,National Newspaper,US,general|policy,Disney,continuous,Low,no,Free,8,7,policy|consumer,High,yes,
NBC News,nbcnews.com,yes,no,National Newspaper,US,general|tech|policy,NBCUniversal,continuous,Low,no,Free,8,7,policy|tech,High,yes,
CBS News,cbsnews.com,yes,no,National Newspaper,US,general|policy,Paramount,continuous,Low,no,Free,8,7,policy|consumer,High,yes,
CNN,cnn.com,yes,no,National Newspaper,US,general|business|tech,Warner Bros Discovery,continuous,Low,no,Free,8,7,policy|business,High,yes,
NPR,npr.org,yes,yes,National Newspaper,US,general|tech|policy,NPR,continuous,Medium,no,Free,9,8,telecom|policy,Medium,yes,Free API
PBS NewsHour,pbs.org/newshour,yes,no,National Newspaper,US,policy|general,PBS,daily,Low,no,Free,9,7,policy,Low,yes,
Los Angeles Times,latimes.com,yes,no,Regional Newspaper,US-West,general|tech|media,LA Times,continuous,Low,yes,Paid,8,7,media|tech,Medium,yes,
Politico,politico.com,yes,partial,National Newspaper,US,congress|regulation|policy,Axel Springer,continuous,High,no,Free,9,9,fcc|congress|regulation,Low,yes,Strong FCC/Hill
Politico Pro Technology,politico.com/pro,verify,yes,Telecommunications Publication,US,telecom-policy|spectrum,Axel Springer,daily,High,yes,Paid,9,10,fcc|spectrum|regulation,Low,yes,Licensed premium
Axios,axios.com,yes,no,National Newspaper,US,policy|tech|business,Cox,continuous,Medium,no,Free,8,8,policy|tech,Medium,yes,Axios Pro paid tier
The Hill,thehill.com,yes,no,National Newspaper,US,congress|policy|tech,Nexstar,continuous,High,no,Free,7,8,fcc|congress|policy,Medium,yes,
Communications Daily,communicationsdaily.com,verify,no,Telecommunications Publication,US,fcc|telecom-policy,Warren Communications News,daily,High,yes,Paid,10,10,fcc|spectrum|media-policy,Low,yes,Gold-standard FCC beat; licensed
TR Daily,trdaily.com,verify,no,Telecommunications Publication,US,fcc|telecom-policy,Telecommunications Reports,daily,High,yes,Paid,9,10,fcc|regulation,Low,yes,Licensed
Broadband Breakfast,broadbandbreakfast.com,yes,no,Broadband Publication,US,broadband|fcc|bead,Breakfast Media,daily,High,metered,Paid,9,9,broadband|fcc|bead|spectrum,Low,yes,High FCC signal
Telecompetitor,telecompetitor.com,yes,no,Broadband Publication,US,broadband|rural|fcc,Pivot Media,daily,High,no,Free,8,9,broadband|rural|fiber|fcc,Low,yes,
Fierce Network,fierce-network.com,yes,no,Telecommunications Publication,US,wireless|telecom|5g,Questex,continuous,High,no,Free,8,9,wireless|5g|broadband|video,Low,yes,Merged Fierce brands
Light Reading,lightreading.com,yes,no,Telecommunications Publication,US,telecom|fiber|networking,Informa,daily,Medium,no,Free,8,8,telecom|5g|fiber,Low,yes,
RCR Wireless News,rcrwireless.com,yes,no,Wireless Publication,US,wireless|5g|spectrum,RCR Wireless,daily,High,no,Free,8,8,wireless|5g|spectrum|iot,Low,yes,
Multichannel News / Next TV,nexttv.com,yes,no,Television Industry Publication,US,cable|media|broadcast,Future US,daily,High,no,Free,8,9,cable|media|broadcast|fcc,Low,yes,
TVNewsCheck,tvnewscheck.com,yes,no,Television Industry Publication,US,broadcast|tv,NewsCheckMedia,daily,High,metered,Paid,8,8,broadcast|tv|fcc|retrans,Low,yes,
TV Technology,tvtechnology.com,yes,no,Television Industry Publication,US,broadcast|engineering,Future US,daily,Medium,no,Free,7,7,broadcast|atsc3,Low,yes,
Radio World,radioworld.com,yes,no,Radio Publication,US,radio|broadcast,Future US,daily,High,no,Free,7,8,radio|broadcast|fcc,Low,yes,
