source_name,rss_url,domain,category,tier,tier_label,authority,reachability,already_in_docuaction,reason
Telecom Reseller,https://telecomreseller.com/feed/,telecomreseller.com,Telecom Trade,3,Tier 3 Telecom/Broadband/Wireless Trade,82,blocked,False,feed blocks bots (verify active)
SDxCentral,https://www.sdxcentral.com/feed/,sdxcentral.com,Telecom Trade,3,Tier 3 Telecom/Broadband/Wireless Trade,82,blocked,False,feed blocks bots (verify active)
Inside Radio,https://www.insideradio.com/rss.xml,insideradio.com,Broadcast/Radio,5,Tier 5 Broadcast News Websites,72,blocked,False,feed blocks bots (verify active)
AP News Technology,https://rsshub.app/apnews/topics/technology,rsshub.app,Major News/Wire,2,Tier 2 National Media,92,blocked,False,feed blocks bots (verify active)
AP News Politics,https://rsshub.app/apnews/topics/politics,rsshub.app,Major News/Wire,2,Tier 2 National Media,92,blocked,False,feed blocks bots (verify active)
Cyber Defense Magazine,https://www.cyberdefensemagazine.com/feed/,cyberdefensemagazine.com,Cybersecurity,4,Tier 4 Technology Publications,74,blocked,False,feed blocks bots (verify active)
IEEE Spectrum,https://spectrum.ieee.org/feeds/feed.rss,spectrum.ieee.org,General,8,Tier 8 Unknown/Low Value,40,active,False,regional/unknown tier — manual review; authority below medium
MIT Tech Review,https://www.technologyreview.com/feed/,technologyreview.com,General,8,Tier 8 Unknown/Low Value,40,active,False,regional/unknown tier — manual review; authority below medium
Tech Policy Press,https://techpolicy.press/feed/,techpolicy.press,General,8,Tier 8 Unknown/Low Value,40,active,False,regional/unknown tier — manual review; authority below medium
Pew Research Tech,https://www.pewresearch.org/feed/,pewresearch.org,General,8,Tier 8 Unknown/Low Value,40,active,False,regional/unknown tier — manual review; authority below medium
Government Executive,https://www.govexec.com/rss/all/,govexec.com,General,8,Tier 8 Unknown/Low Value,40,active,False,regional/unknown tier — manual review; authority below medium
Defense One Tech,https://www.defenseone.com/rss/technology/,defenseone.com,General,8,Tier 8 Unknown/Low Value,40,active,False,regional/unknown tier — manual review; authority below medium
Inside Cybersecurity,https://insidecybersecurity.com/rss.xml,insidecybersecurity.com,General,8,Tier 8 Unknown/Low Value,40,active,False,regional/unknown tier — manual review; authority below medium
Access Intelligence,https://www.accessintel.com/feed/,accessintel.com,General,8,Tier 8 Unknown/Low Value,40,blocked,False,regional/unknown tier — manual review; feed blocks bots (verify active); authority below medium
CircleID,https://www.circleid.com/rss/posts/,circleid.com,General,8,Tier 8 Unknown/Low Value,40,active,False,regional/unknown tier — manual review; authority below medium
Multichannel Merchant,https://multichannelmerchant.com/feed/,multichannelmerchant.com,General,8,Tier 8 Unknown/Low Value,40,active,False,regional/unknown tier — manual review; authority below medium
Broadband Communities,https://www.bbcmag.com/rss/,bbcmag.com,General,8,Tier 8 Unknown/Low Value,40,active,False,regional/unknown tier — manual review; authority below medium
ISP Review UK,https://www.ispreview.co.uk/index.php/feed,ispreview.co.uk,General,8,Tier 8 Unknown/Low Value,40,active,False,regional/unknown tier — manual review; authority below medium
Telecom Asia,https://www.telecomasia.net/rss.xml,telecomasia.net,General,8,Tier 8 Unknown/Low Value,40,blocked,False,regional/unknown tier — manual review; feed blocks bots (verify active); authority below medium
Telecom Lead,https://www.telecomlead.com/feed,telecomlead.com,General,8,Tier 8 Unknown/Low Value,40,blocked,False,regional/unknown tier — manual review; feed blocks bots (verify active); authority below medium
Enterprise Networking Planet,https://www.enterprisenetworkingplanet.com/feed/,enterprisenetworkingplanet.com,General,8,Tier 8 Unknown/Low Value,40,active,False,regional/unknown tier — manual review; authority below medium
Data Center Knowledge,https://www.datacenterknowledge.com/rss.xml,datacenterknowledge.com,General,8,Tier 8 Unknown/Low Value,40,active,False,regional/unknown tier — manual review; authority below medium
Fierce Healthcare IT,https://www.fiercehealthcare.com/rss/xml,fiercehealthcare.com,General,8,Tier 8 Unknown/Low Value,40,active,False,regional/unknown tier — manual review; authority below medium
Fierce Education,https://www.fierceeducation.com/rss/xml,fierceeducation.com,General,8,Tier 8 Unknown/Low Value,40,blocked,False,regional/unknown tier — manual review; feed blocks bots (verify active); authority below medium
E-Commerce Times,https://www.ecommercetimes.com/rss-feed/,ecommercetimes.com,General,8,Tier 8 Unknown/Low Value,40,blocked,False,regional/unknown tier — manual review; feed blocks bots (verify active); authority below medium
LinuxInsider,https://linuxinsider.com/rss-feed/,linuxinsider.com,General,8,Tier 8 Unknown/Low Value,40,blocked,False,regional/unknown tier — manual review; feed blocks bots (verify active); authority below medium
TechNewsWorld,https://www.technewsworld.com/rss-feed/,technewsworld.com,General,8,Tier 8 Unknown/Low Value,40,blocked,False,regional/unknown tier — manual review; feed blocks bots (verify active); authority below medium
