name,url,status,classification
Vanilla Plus,https://www.vanillaplus.com/feed/,ConnectError,dead
TeleGeography,https://www.telegeography.com/feed/,404,dead
Inside Radio,https://www.insideradio.com/rss.xml,404,dead
Comms Update,https://www.commsupdate.com/feed/,404,dead
Developing Telecoms,https://developingtelecoms.com/feed,404,dead
ITIF,https://itif.org/feed/,404,dead
Network World,https://www.networkworld.com/index.rss,404,dead
PCMag,https://www.pcmag.com/feeds/latest,404,dead
Law360,https://www.law360.com/rss/articles,404,dead
Wall Street Journal Tech,https://feeds.content.dowjones.io/public/rss/mw_technology,404,dead
CRN,https://www.crn.com/rss,404,dead
CNN Tech,https://rss.cnn.com/rss/cnn_tech.rss,ConnectError,dead
Oped News Telecom,https://www.opednews.com/populum/rss_telecom.php,404,dead
Protocol,https://www.protocol.com/feeds/feed.rss,404,dead
Morning Consult Tech,https://morningconsult.com/feed/,404,dead
Multichannel News,https://www.nexttv.com/rss/multichannel,404,dead
InfoWorld,https://www.infoworld.com/index.rss,404,dead
Telco Magazine,https://www.telcomagazine.com/feed/,ConnectTimeout,dead
Talkers,https://talkers.com/feed/,ConnectTimeout,dead
TechFreedom,https://techfreedom.org/feed/,ConnectTimeout,dead
FCC.gov - News Releases,https://www.fcc.gov/rss/news-releases,ReadTimeout,dead
FCC.gov - Headlines,https://www.fcc.gov/rss/headlines,ReadTimeout,dead
EFF,https://www.eff.org/rss/updates.xml,ConnectTimeout,dead
National Law Review,https://www.natlawreview.com/recent/feed,ConnectTimeout,dead
Yale JREG,https://www.yalejreg.com/feed/,ConnectTimeout,dead
IT World Canada,https://www.itworldcanada.com/blog/feed,404,dead
CSIS,https://www.csis.org/rss.xml,ConnectTimeout,dead
Politico,https://www.politico.com/rss/technology.xml,ConnectTimeout,dead
NextTV,https://www.nexttv.com/rss.xml,ConnectTimeout,dead
TV Technology,https://www.tvtechnology.com/rss.xml,ConnectTimeout,dead
Wireless Week,https://www.wirelessweek.com/rss.xml,404,dead
The Verge,https://www.theverge.com/rss/index.xml,ConnectTimeout,dead
CSO Online,https://www.csoonline.com/index.rss,404,dead
TechRadar,https://www.techradar.com/feeds/,ConnectTimeout,dead
Free Press,https://freepress.net/rss.xml,404,dead
Reuters Technology,https://feeds.reuters.com/reuters/technologyNews,ConnectTimeout,dead
Reuters Business,https://feeds.reuters.com/reuters/businessNews,ConnectTimeout,dead
DOJ Press,https://www.justice.gov/feeds/opa/justice-news.xml,404,dead
Broadcasting & Cable,https://www.nexttv.com/rss/broadcasting-cable,404,dead
Washington Post Tech,https://feeds.washingtonpost.com/rss/business/technology,ReadTimeout,dead
IAPP News,https://iapp.org/news/rss/,404,dead
Reason Tech,https://reason.com/tag/technology/feed/,404,dead
Slate Tech,https://slate.com/technology.rss,404,dead
FCC Watch,https://fccwatch.com/feed/,404,dead
Computerworld,https://www.computerworld.com/index.rss,404,dead
NTIA,https://www.ntia.gov/rss.xml,ConnectError,dead
