name,rss_url,domain,category,tier,authority,reason
Federal Register - FCC,https://www.federalregister.gov/documents/search.rss?conditions%5Bagencies%5D%5B%5D=federal-communications-commission,federalregister.gov,Government,1,100.0,Tier 1 Government — retained for resilient pipeline (RSS/official complements API)
Broadband Breakfast,https://broadbandbreakfast.com/feed/,broadbandbreakfast.com,Telecom Trade,3,82.0,Tier 3 Telecom Trade — retained for resilient pipeline (RSS/official complements API)
Light Reading,https://www.lightreading.com/rss.xml,lightreading.com,Telecom Trade,3,82.0,Tier 3 Telecom Trade — retained for resilient pipeline (RSS/official complements API)
Fierce Network,https://www.fierce-network.com/rss/xml,fierce-network.com,Telecom Trade,3,82.0,Tier 3 Telecom Trade — retained for resilient pipeline (RSS/official complements API)
Fierce Wireless,https://www.fiercewireless.com/rss/xml,fiercewireless.com,Telecom Trade,3,82.0,Tier 3 Telecom Trade — retained for resilient pipeline (RSS/official complements API)
RCR Wireless,https://www.rcrwireless.com/feed,rcrwireless.com,Telecom Trade,3,82.0,Tier 3 Telecom Trade — retained for resilient pipeline (RSS/official complements API)
TR Daily,https://trdaily.com/feed/,trdaily.com,Telecom Trade,3,82.0,Tier 3 Telecom Trade — retained for resilient pipeline (RSS/official complements API)
Telecompaper,https://www.telecompaper.com/rss/news,telecompaper.com,Telecom Trade,3,82.0,Tier 3 Telecom Trade — retained for resilient pipeline (RSS/official complements API)
Total Tele,https://www.totaltele.com/rss.xml,totaltele.com,Telecom Trade,3,82.0,Tier 3 Telecom Trade — retained for resilient pipeline (RSS/official complements API)
Telecoms,https://telecoms.com/feed/,telecoms.com,Telecom Trade,3,82.0,Tier 3 Telecom Trade — retained for resilient pipeline (RSS/official complements API)
Telecom Reseller,https://telecomreseller.com/feed/,telecomreseller.com,Telecom Trade,3,82.0,Tier 3 Telecom Trade — retained for resilient pipeline (RSS/official complements API)
Broadband World News,https://www.broadbandworldnews.com/rss.xml,broadbandworldnews.com,Telecom Trade,3,82.0,Tier 3 Telecom Trade — retained for resilient pipeline (RSS/official complements API)
Inside Towers,https://insidetowers.com/feed/,insidetowers.com,Telecom Trade,3,82.0,Tier 3 Telecom Trade — retained for resilient pipeline (RSS/official complements API)
Mobile World Live,https://www.mobileworldlive.com/feed/,mobileworldlive.com,Telecom Trade,3,82.0,Tier 3 Telecom Trade — retained for resilient pipeline (RSS/official complements API)
SDxCentral,https://www.sdxcentral.com/feed/,sdxcentral.com,Telecom Trade,3,82.0,Tier 3 Telecom Trade — retained for resilient pipeline (RSS/official complements API)
TIA Online,https://tiaonline.org/feed/,tiaonline.org,Telecom Trade,3,82.0,Tier 3 Telecom Trade — retained for resilient pipeline (RSS/official complements API)
Radio World,https://www.radioworld.com/feed/,radioworld.com,Broadcast/Radio,5,72.0,Tier 5 Broadcast/Radio — retained for resilient pipeline (RSS/official complements API)
TVNewsCheck,https://tvnewscheck.com/feed/,tvnewscheck.com,Broadcast/Radio,5,72.0,Tier 5 Broadcast/Radio — retained for resilient pipeline (RSS/official complements API)
RBR,https://www.rbr.com/feed/,rbr.com,Broadcast/Radio,5,72.0,Tier 5 Broadcast/Radio — retained for resilient pipeline (RSS/official complements API)
All Access,https://www.allaccess.com/merge/archive/rss.xml,allaccess.com,Broadcast/Radio,5,72.0,Tier 5 Broadcast/Radio — retained for resilient pipeline (RSS/official complements API)
Radio Ink,https://radioink.com/feed/,radioink.com,Broadcast/Radio,5,72.0,Tier 5 Broadcast/Radio — retained for resilient pipeline (RSS/official complements API)
The Desk,https://thedesk.net/feed/,thedesk.net,Broadcast/Radio,5,72.0,Tier 5 Broadcast/Radio — retained for resilient pipeline (RSS/official complements API)
FCC Data,https://fccdata.org/feed/,fccdata.org,Broadcast/Radio,5,72.0,Tier 5 Broadcast/Radio — retained for resilient pipeline (RSS/official complements API)
Benton Institute,https://www.benton.org/rss.xml,benton.org,Government,1,95.0,Tier 1 Government — retained for resilient pipeline (RSS/official complements API)
Public Knowledge,https://publicknowledge.org/feed/,publicknowledge.org,Government,1,95.0,Tier 1 Government — retained for resilient pipeline (RSS/official complements API)
Federal News Network,https://federalnewsnetwork.com/feed/,federalnewsnetwork.com,Government,1,95.0,Tier 1 Government — retained for resilient pipeline (RSS/official complements API)
GovTech,https://www.govtech.com/rss,govtech.com,Government,1,95.0,Tier 1 Government — retained for resilient pipeline (RSS/official complements API)
SCOTUSblog,https://www.scotusblog.com/feed/,scotusblog.com,Government,1,95.0,Tier 1 Government — retained for resilient pipeline (RSS/official complements API)
Brookings TechTank,https://www.brookings.edu/topic/technology-innovation/feed/,brookings.edu,Government,1,95.0,Tier 1 Government — retained for resilient pipeline (RSS/official complements API)
AEI,https://www.aei.org/feed/,aei.org,Government,1,95.0,Tier 1 Government — retained for resilient pipeline (RSS/official complements API)
Nextgov,https://www.nextgov.com/rss/all/,nextgov.com,Government,1,95.0,Tier 1 Government — retained for resilient pipeline (RSS/official complements API)
Bloomberg Law,https://www.bloomberglaw.com/feed,bloomberglaw.com,Government,1,95.0,Tier 1 Government — retained for resilient pipeline (RSS/official complements API)
Ars Technica,https://feeds.arstechnica.com/arstechnica/index,feeds.arstechnica.com,Technology,4,76.0,Tier 4 Technology — retained for resilient pipeline (RSS/official complements API)
TechCrunch,https://techcrunch.com/feed/,techcrunch.com,Technology,4,76.0,Tier 4 Technology — retained for resilient pipeline (RSS/official complements API)
TechDirt,https://www.techdirt.com/feed/,techdirt.com,Technology,4,76.0,Tier 4 Technology — retained for resilient pipeline (RSS/official complements API)
Wired,https://www.wired.com/feed/rss,wired.com,Technology,4,76.0,Tier 4 Technology — retained for resilient pipeline (RSS/official complements API)
Engadget,https://www.engadget.com/rss.xml,engadget.com,Technology,4,76.0,Tier 4 Technology — retained for resilient pipeline (RSS/official complements API)
Gizmodo,https://gizmodo.com/feed/,gizmodo.com,Technology,4,76.0,Tier 4 Technology — retained for resilient pipeline (RSS/official complements API)
CNET,https://www.cnet.com/rss/news/,cnet.com,Technology,4,76.0,Tier 4 Technology — retained for resilient pipeline (RSS/official complements API)
ZDNet,https://www.zdnet.com/news/rss.xml,zdnet.com,Technology,4,76.0,Tier 4 Technology — retained for resilient pipeline (RSS/official complements API)
VentureBeat,https://venturebeat.com/feed/,venturebeat.com,Technology,4,76.0,Tier 4 Technology — retained for resilient pipeline (RSS/official complements API)
Digital Trends,https://www.digitaltrends.com/feed/,digitaltrends.com,Technology,4,76.0,Tier 4 Technology — retained for resilient pipeline (RSS/official complements API)
Slashdot,https://rss.slashdot.org/Slashdot/slashdotMain,rss.slashdot.org,Technology,4,76.0,Tier 4 Technology — retained for resilient pipeline (RSS/official complements API)
Mashable,https://mashable.com/feeds/rss/all,mashable.com,Technology,4,76.0,Tier 4 Technology — retained for resilient pipeline (RSS/official complements API)
eWeek,https://www.eweek.com/rss.xml,eweek.com,Technology,4,76.0,Tier 4 Technology — retained for resilient pipeline (RSS/official complements API)
CIO,https://www.cio.com/feed/,cio.com,Technology,4,76.0,Tier 4 Technology — retained for resilient pipeline (RSS/official complements API)
AP News Technology,https://rsshub.app/apnews/topics/technology,rsshub.app,Major News/Wire,2,92.0,Tier 2 Major News/Wire — retained for resilient pipeline (RSS/official complements API)
AP News Politics,https://rsshub.app/apnews/topics/politics,rsshub.app,Major News/Wire,2,92.0,Tier 2 Major News/Wire — retained for resilient pipeline (RSS/official complements API)
Bloomberg Technology,https://feeds.bloomberg.com/technology/news.rss,feeds.bloomberg.com,Major News/Wire,2,92.0,Tier 2 Major News/Wire — retained for resilient pipeline (RSS/official complements API)
Bloomberg Politics,https://feeds.bloomberg.com/politics/news.rss,feeds.bloomberg.com,Major News/Wire,2,92.0,Tier 2 Major News/Wire — retained for resilient pipeline (RSS/official complements API)
New York Times Tech,https://rss.nytimes.com/services/xml/rss/nyt/Technology.xml,rss.nytimes.com,Major News/Wire,2,92.0,Tier 2 Major News/Wire — retained for resilient pipeline (RSS/official complements API)
New York Times Politics,https://rss.nytimes.com/services/xml/rss/nyt/Politics.xml,rss.nytimes.com,Major News/Wire,2,92.0,Tier 2 Major News/Wire — retained for resilient pipeline (RSS/official complements API)
The Hill,https://thehill.com/feed/,thehill.com,Major News/Wire,2,92.0,Tier 2 Major News/Wire — retained for resilient pipeline (RSS/official complements API)
Axios,https://api.axios.com/feed/,api.axios.com,Major News/Wire,2,92.0,Tier 2 Major News/Wire — retained for resilient pipeline (RSS/official complements API)
CBS News Tech,https://www.cbsnews.com/latest/rss/tech,cbsnews.com,Major News/Wire,2,92.0,Tier 2 Major News/Wire — retained for resilient pipeline (RSS/official complements API)
NBC News Tech,https://feeds.nbcnews.com/nbcnews/public/tech,feeds.nbcnews.com,Major News/Wire,2,92.0,Tier 2 Major News/Wire — retained for resilient pipeline (RSS/official complements API)
ABC News Tech,https://abcnews.go.com/abcnews/technologyheadlines,abcnews.go.com,Major News/Wire,2,92.0,Tier 2 Major News/Wire — retained for resilient pipeline (RSS/official complements API)
Fox Business,https://moxie.foxbusiness.com/google-publisher/technology.xml,moxie.foxbusiness.com,Major News/Wire,2,92.0,Tier 2 Major News/Wire — retained for resilient pipeline (RSS/official complements API)
USA Today Tech,https://rssfeeds.usatoday.com/UsatodaycomTech-TopStories,rssfeeds.usatoday.com,Major News/Wire,2,92.0,Tier 2 Major News/Wire — retained for resilient pipeline (RSS/official complements API)
NPR Technology,https://feeds.npr.org/1019/rss.xml,feeds.npr.org,Major News/Wire,2,92.0,Tier 2 Major News/Wire — retained for resilient pipeline (RSS/official complements API)
NPR Business,https://feeds.npr.org/1006/rss.xml,feeds.npr.org,Major News/Wire,2,92.0,Tier 2 Major News/Wire — retained for resilient pipeline (RSS/official complements API)
Forbes Tech,https://www.forbes.com/innovation/feed/,forbes.com,Major News/Wire,2,92.0,Tier 2 Major News/Wire — retained for resilient pipeline (RSS/official complements API)
Fortune,https://fortune.com/feed/,fortune.com,Major News/Wire,2,92.0,Tier 2 Major News/Wire — retained for resilient pipeline (RSS/official complements API)
MarketWatch,https://feeds.content.dowjones.io/public/rss/mw_topstories,feeds.content.dowjones.io,Major News/Wire,2,92.0,Tier 2 Major News/Wire — retained for resilient pipeline (RSS/official complements API)
CNBC Tech,https://www.cnbc.com/id/19854910/device/rss/rss.html,cnbc.com,Major News/Wire,2,92.0,Tier 2 Major News/Wire — retained for resilient pipeline (RSS/official complements API)
CNBC Telecom,https://www.cnbc.com/id/10000108/device/rss/rss.html,cnbc.com,Major News/Wire,2,92.0,Tier 2 Major News/Wire — retained for resilient pipeline (RSS/official complements API)
Dark Reading,https://www.darkreading.com/rss.xml,darkreading.com,Cybersecurity,4,74.0,Tier 4 Cybersecurity — retained for resilient pipeline (RSS/official complements API)
Security Week,https://www.securityweek.com/feed/,securityweek.com,Cybersecurity,4,74.0,Tier 4 Cybersecurity — retained for resilient pipeline (RSS/official complements API)
Cybersecurity Dive,https://www.cybersecuritydive.com/feeds/news/,cybersecuritydive.com,Cybersecurity,4,74.0,Tier 4 Cybersecurity — retained for resilient pipeline (RSS/official complements API)
